Time (s),Shoulder Joint,Elbow Joint,Wrist Joint,Finger Joint,Drum Bead,cm,100bpm
0,0,-25.01017698,-39.53141726,-45.6678737,-43.56834018,,
0.004166667,0,-25.05220459,-39.64594682,-45.75011158,-43.36537485,,
0.008333333,0,-25.07629677,-39.74821289,-45.8219149,-43.1800953,,
0.0125,0,-25.08503241,-39.84036993,-45.88203044,-43.02271937,,
0.016666667,0,-25.08485854,-39.92574797,-45.92694307,-42.88895505,,
0.020833333,0,-25.0849737,-40.00823547,-45.95339861,-42.7854985,,
0.025,0,-25.09437669,-40.09045655,-45.95921765,-42.72511105,,
0.029166667,0,-25.11907198,-40.17211283,-45.94325279,-42.70620538,,
0.033333333,0,-25.16206853,-40.25104941,-45.9071967,-42.71009701,,
0.0375,0,-25.2244657,-40.32493471,-45.85541374,-42.70860178,,
0.041666667,0,-25.30514964,-40.39121314,-45.79190531,-42.67535075,,
0.045833333,0,-25.40049438,-40.44674293,-45.71899627,-42.59694982,,
0.05,0,-25.50540188,-40.48786762,-45.63751861,-42.47774288,,
0.054166667,0,-25.61454934,-40.51051516,-45.54604217,-42.3274174,,
0.058333333,0,-25.7231329,-40.51076391,-45.4415254,-42.13213823,,
0.0625,0,-25.82762424,-40.48590571,-45.32205402,-41.85610364,,
0.066666667,0,-25.92656359,-40.43536554,-45.18823831,-41.48259066,,
0.070833333,0,-26.0201532,-40.36077695,-45.04162742,-41.03473348,,
0.075,0,-26.10864625,-40.26505408,-44.88187255,-40.55097992,,
0.079166667,0,-26.19176807,-40.15116175,-44.70663556,-40.05332998,,
0.083333333,0,-26.26945154,-40.02133297,-44.5142124,-39.53897173,,
0.0875,0,-26.34214519,-39.87736834,-44.3037557,-38.9889254,,
0.091666667,0,-26.41015928,-39.72133141,-44.07272754,-38.39346569,,
0.095833333,0,-26.47246781,-39.55499978,-43.81619406,-37.77296235,,
0.1,0,-26.52608444,-39.37860808,-43.52757917,-37.15423323,,
0.104166667,0,-26.56684457,-39.19056918,-43.1982336,-36.53732554,,
0.108333333,0,-26.59099121,-38.98829987,-42.81935356,-35.89868062,,
0.1125,0,-26.59664351,-38.769452,-42.38792563,-35.20842762,,
0.116666667,0,-26.58472925,-38.53340224,-41.91110787,-34.44781547,,
0.120833333,0,-26.55925883,-38.28275571,-41.40551059,-33.62454021,,
0.125,0,-26.52637571,-38.02342013,-40.89145162,-32.77154883,,
0.129166667,0,-26.49233032,-37.7625579,-40.38399891,-31.93110332,,
0.133333333,0,-26.46277629,-37.50668311,-39.88849447,-31.12526801,,
0.1375,0,-26.44407783,-37.26148087,-39.40504977,-30.33893736,,
